branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
classical,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,I_XFY_trusted,exact,240,64,0.26666666666666666
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,union,240,124,0.5166666666666667
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family_v12,240,114,0.475
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_X,family,240,113,0.4708333333333333
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,union,240,158,0.6583333333333333
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family_v12,240,138,0.575
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XF,family,240,137,0.5708333333333333
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_Ym,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,union,240,158,0.6583333333333333
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,family_v12,240,138,0.575
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY,family,240,133,0.5541666666666667
classical,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,I_XFY_trusted,exact,240,127,0.5291666666666667
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,union,240,191,0.7958333333333333
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,family_v12,240,176,0.7333333333333333
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_X,family,240,174,0.725
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,union,240,213,0.8875
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,family_v12,240,186,0.775
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XF,family,240,181,0.7541666666666667
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,union,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,family_v12,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_Ym,family,240,0,0.0
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,union,240,213,0.8875
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,family_v12,240,182,0.7583333333333333
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY,family,240,173,0.7208333333333333
classical,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,I_XFY_trusted,exact,240,182,0.7583333333333333
