gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,attack_class,mechanism,strength,impact_bal_acc,bal_acc,bal_acc_clean,delta_bal_acc,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_strength,atk_alpha,atk_strength_nominal,atk_strength_eff,atk_delta,atk_per_feature,atk_dvec_mean,atk_dvec_std,atk_priority_group,atk_mechanism,atk_window_sd,atk_min_mass,atk_frozen_entry_fraction,atk_perturbed_entry_fraction,atk_fully_frozen_row_fraction,atk_max_feature_frozen_fraction,atk_min_feature_frozen_fraction,atk_mean_abs_delta,atk_mean_abs_delta_moved,atk_max_abs_delta,atk_n_samples,atk_n_features
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,scaling_drift_alpha_0.050,covariate_shift,core,control,scaling_drift,0.05,0.0,0.77734375,0.7734375,-0.00390625,0.275101678113147,0.1066645939562192,0.875,0.5807461600865012,0.00390625,9.103040205248958e-06,0.0,0.0,0.0078125,1.5602748228380815e-05,0.03515625,0.0078125,1.5602748228380815e-05,,covariate_shift,0.05,0.05,,,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,43,qsvc_zz_r1,scaling_drift_alpha_0.100,covariate_shift,core,control,scaling_drift,0.1,0.24609375,0.52734375,0.7734375,0.24609375,0.3726553035371849,0.2235786708469862,0.875,0.5624768065937851,0.62109375,0.2239394692912973,0.0,0.0,1.2421875,0.2836048551790946,0.66796875,1.2421875,0.2836048551790946,,covariate_shift,0.1,0.1,,,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.020,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.02,0.0,0.72265625,0.72265625,0.0,0.0081971795745222,0.0,0.0,0.0557830196100374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adaptive_covariate_shift,0.02,,0.02,0.0052777456249786,,,,,adaptive,mean_shift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0052777456249786,0.0149087214344224,0.029389113086879,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.050,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.05,0.0078125,0.71484375,0.72265625,0.0078125,0.0212379417798719,0.0,0.125,0.0646313631717802,0.0078125,3.655050501655483e-05,0.0,0.0,0.015625,0.0002121914348431,0.0078125,0.015625,0.0002121914348431,,adaptive_covariate_shift,0.05,,0.05,0.011698971845798,,,,,adaptive,mean_shift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.011698971845798,0.0330475784002682,0.1071078924839907,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.100,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.1,0.00390625,0.71875,0.72265625,0.00390625,0.0339826117179432,0.0,0.25,0.162112626926884,0.03515625,0.0007218681353738,0.0,0.0,0.0703125,0.0014199320608125,0.03515625,0.0703125,0.0014199320608125,,adaptive_covariate_shift,0.1,,0.1,0.0233021652816588,,,,,adaptive,mean_shift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0233021652816588,0.0658245993059826,0.1897968429909418,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.250,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.25,0.07421875,0.6484375,0.72265625,0.07421875,0.0884465916376152,0.1140499041799099,0.625,0.2489689491688738,0.08203125,0.0037886162572661,0.0,0.0,0.1640625,0.0126259103404373,0.08203125,0.1640625,0.0126259103404373,,adaptive_covariate_shift,0.25,,0.25,0.0833000692454103,,,,,adaptive,mean_shift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0833000692454103,0.2353083335373798,0.6270002813479714,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.500,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.5,0.09375,0.62890625,0.72265625,0.09375,0.1235228103586391,0.1341601068697504,0.875,0.2011383066674008,0.125,0.0085582411608922,0.0,0.0,0.25,0.0217656216844364,0.125,0.25,0.0217656216844364,,adaptive_covariate_shift,0.5,,0.5,0.1574023010454963,,,,,adaptive,mean_shift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.1574023010454963,0.4446343621257606,1.4089871762157875,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.020,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.02,0.0,0.7265625,0.72265625,-0.00390625,0.0333996685700871,0.0,0.125,0.1070390389940823,0.01171875,8.193088764516356e-05,0.0,0.0,0.0234375,0.0001167143899453,0.01171875,0.0234375,0.0001167143899453,,adaptive_covariate_shift,0.02,,0.02,0.0192097426617422,,,,,adaptive,scaling_drift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0192097426617422,0.0542642109948249,0.1273956782952954,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.050,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.05,0.06640625,0.65625,0.72265625,0.06640625,0.075420570201432,0.0390512135787179,0.25,0.1613586356607635,0.10546875,0.0061652822671079,0.0,0.0,0.2109375,0.0150741859703866,0.10546875,0.2109375,0.0150741859703866,,adaptive_covariate_shift,0.05,,0.05,0.0480243566543556,,,,,adaptive,scaling_drift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0480243566543556,0.1356605274870624,0.3184891957382385,256.0,8.0
gate2_id_256,id,id8c8771f4,8,43,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.100,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.1,0.09765625,0.625,0.72265625,0.09765625,0.0910388032560246,0.1012832703858806,0.625,0.1680223545269456,0.11328125,0.0070779529128585,0.0,0.0,0.2265625,0.0203848981909548,0.11328125,0.2265625,0.0203848981909548,,adaptive_covariate_shift,0.1,,0.1,0.0960487133087112,,,,,adaptive,scaling_drift,0.01,0.05,0.64599609375,0.35400390625,0.40234375,0.84765625,0.56640625,0.0960487133087112,0.2713210549741249,0.6369783914764771,256.0,8.0
