regime,policy,policy_class,tau,attack,attack_class,mechanism,strength,n,n_material,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,containment,unsafe_allow_rate
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,411,69,342,0,57,132,0.8321167883211679,0.1678832116788321
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,253,33,220,0,93,254,0.8695652173913043,0.13043478260869565
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,130,4,126,0,122,348,0.9692307692307692,0.03076923076923077
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,454,37,417,0,29,117,0.9185022026431718,0.08149779735682819
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,314,18,296,0,48,238,0.9426751592356688,0.05732484076433121
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,209,9,200,0,57,334,0.9569377990430622,0.0430622009569378
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,241,215,26,0,355,4,0.1078838174273859,0.8921161825726142
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,65,54,11,0,516,19,0.16923076923076924,0.8307692307692308
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,10,7,3,0,563,27,0.3,0.7
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,600,313,179,134,0,211,76,0.4281150159744409,0.5718849840255591
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,600,163,74,89,0,316,121,0.5460122699386503,0.4539877300613497
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,600,66,22,44,0,368,166,0.6666666666666666,0.3333333333333333
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,600,350,120,230,0,141,109,0.6571428571428571,0.34285714285714286
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,600,215,59,156,0,202,183,0.7255813953488373,0.2744186046511628
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,600,124,25,99,0,236,240,0.7983870967741935,0.20161290322580644
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,431,71,360,0,76,93,0.8352668213457076,0.16473317865429235
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,282,28,254,0,119,199,0.900709219858156,0.09929078014184398
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,196,10,186,0,137,267,0.9489795918367347,0.05102040816326531
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,485,47,438,0,28,87,0.9030927835051547,0.09690721649484536
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,320,19,301,0,56,224,0.940625,0.059375
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,211,1,210,0,74,315,0.995260663507109,0.004739336492890996
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,197,0,197,0,0,403,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,59,0,59,0,0,541,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,35,0,35,0,0,565,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,275,0,275,0,0,325,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,118,0,118,0,0,482,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,68,0,68,0,0,532,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,355,0,355,0,0,245,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,212,0,212,0,0,388,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,147,0,147,0,0,453,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,290,0,290,0,3,307,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,135,0,135,0,3,462,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,83,0,83,0,3,514,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,345,0,345,0,0,255,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,250,0,250,0,0,350,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,182,0,182,0,0,418,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.0,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,386,0,386,0,0,214,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.02,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,301,0,301,0,0,299,1.0,0.0
I_X,family_calibrated,"calibrated, risk-tolerant (may serve under a declared residual blind region)",0.05,scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,248,0,248,0,0,352,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,174,0,174,0,0,426,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,17,0,17,0,0,583,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,2,0,2,0,0,598,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,237,0,237,0,0,363,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,59,0,59,0,0,541,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,8,0,8,0,0,592,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,322,0,322,0,0,278,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,131,0,131,0,0,469,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,32,0,32,0,0,568,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,411,0,411,0,0,189,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,253,0,253,0,0,347,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,130,0,130,0,0,470,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,454,0,454,0,0,146,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,314,0,314,0,0,286,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.05,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,209,0,209,0,0,391,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.0,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,241,0,241,0,0,359,1.0,0.0
I_X,family_calibrated_strict,coverage-complete abstaining (fail-closed on missing coverage: a mandatory boundary without declared exact or statistical coverage => hold; no minimum-power guarantee),0.02,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,65,0,65,0,0,535,1.0,0.0
