protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.050,0.02890625,0.0,0.0,0.0,0.0,0.011716866157142737,0.005325848253246698,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,10,target_shift,label_flip_r_0.050,0.02832063017141479,0.0,0.0,0.0,0.5169479983911013,0.01273390374669078,0.09977868322869604,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_r_0.050,0.02817424530043105,0.0,0.0,0.0,0.5169479983911013,0.014077403201419664,0.10038936479902734,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,svc_rbf,8,target_shift,label_flip_r_0.050,0.02815758812141254,0.0,0.0,0.0,0.5169479983911013,0.023631182158743724,0.10473199159781102,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_pauli_xyz_r1,12,target_shift,label_flip_prior_preserving_r_0.050,0.028125,0.0,0.0,0.0,0.0,0.010323821709930393,0.004692646231786541,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,12,target_shift,label_flip_prior_preserving_r_0.050,0.028125,0.0,0.0,0.0,0.0,0.010176231924015993,0.004625559965461815,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_r_0.050,0.027255466020690906,0.0,0.0,0.0,0.5169479983911013,0.011320305748133842,0.09913613868389744,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_z_r1,10,target_shift,label_flip_prior_preserving_r_0.050,0.0265625,0.0,0.0,0.0,0.0,0.010281433522167595,0.004673378873712543,5,4,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_r_0.050,0.025998486818938044,0.0,0.0,0.0,0.5169479983911013,0.01163615997728854,0.09927970878805865,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_r_0.050,0.025961107478451213,0.0,0.0,0.0,0.5169479983911013,0.01651232480096921,0.10149614734427714,5,4,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path
