protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit
id,id8c8771f4,qsvc_pauli_xyz_r1,10,44,42,0.020083852041353246,0.22612841717119472,0.23297624861051214,0.11727515281585174,0.0343781804446651,0.1216678365724616,0.017282532948900187,0.017783614514552425,18,44|42
id,id8c8771f4,qsvc_pauli_xyz_r1,10,44,43,0.025412903815121544,0.21444846651469684,0.22349751720767047,0.09721925447629062,0.06151003101129174,0.1269071575308838,0.01440711563314967,0.017398034068665143,18,44|43
id,id8c8771f4,qsvc_pauli_xyz_r1,10,44,44,0.04193208629532554,0.1983309501329951,0.210776145008312,0.07638740501592309,0.08686909239923181,0.13002044109647756,0.025245004852740095,0.027425559758095575,18,44|44
id,id8c8771f4,qsvc_pauli_xyz_r1,10,44,45,0.023295845026586808,0.2107464847975287,0.22329845536424087,0.08024339560167054,0.07776327485301314,0.1311360897204882,0.00958432151817849,0.011659652010215722,18,44|45
id,id8c8771f4,qsvc_pauli_xyz_r1,10,45,42,0.036890758158740204,0.2150766757753091,0.23611705734345684,0.0920060883452081,0.08950238433057717,0.14327202979246628,0.02412180210670079,0.026115558449221848,18,45|42
id,id8c8771f4,qsvc_pauli_xyz_r1,10,45,43,0.018145126477624438,0.21279708737174288,0.23163801768168313,0.10220889783263903,0.030660871604627517,0.11675220221955891,0.01452118700477354,0.0157843591607606,18,45|43
id,id8c8771f4,qsvc_pauli_xyz_r1,10,45,44,0.03447996429347236,0.19626270114399016,0.22466612248731327,0.07638740501592309,0.08634888614394315,0.134834884609165,0.01952673801577023,0.021124181069235706,18,45|44
id,id8c8771f4,qsvc_pauli_xyz_r1,10,45,45,0.019414336705984706,0.2153057854701315,0.21725915062074133,0.08887557316470082,0.03599259926070672,0.11152279501053641,0.016569624892759562,0.01733063789421137,18,45|45
id,id8c8771f4,qsvc_pauli_xyz_r1,10,46,42,0.04001619522452856,0.20886038597323614,0.22582745933047635,0.05555555555555555,0.08998002555230061,0.13312009783586543,0.024936588122966882,0.02598861624080304,18,46|42
id,id8c8771f4,qsvc_pauli_xyz_r1,10,46,43,0.02305185454107768,0.2056223173442714,0.21594574511487347,0.09875927420876114,0.04568188930586985,0.11724645230966958,0.02154236952705556,0.021350668528339434,18,46|43
