protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_zz_r1,12,44,42,0.06375241835942982,0.21505496583721262,0.2527835041811832,0.11727515281585174,0.1548752130783107,0.18364185343163544,0.03144002653395945,0.03810392215313201,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,44,43,0.05668963310932397,0.20819522717240638,0.23038865155627736,0.09721925447629062,0.14263878663682006,0.16628973166925373,0.040271749036030625,0.038546211865518154,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,45,42,0.060434554432381105,0.2282004916925665,0.23520077657599378,0.0920060883452081,0.18911901129389527,0.18821912176944253,0.03294766370039523,0.03493154589863862,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,45,43,0.05837309776657946,0.20337368145325724,0.24324332201390048,0.10220889783263903,0.14265171950022035,0.1718772437474529,0.03755045084666708,0.0388689629728213,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,46,42,0.07481918159001492,0.20218362497673742,0.2422067083189042,0.05555555555555555,0.2054161854314117,0.1915471701403442,0.04128980908251903,0.04135737850914521,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,46,43,0.052457282682686346,0.20899026655592637,0.2274048699414014,0.09875927420876114,0.14775851041046756,0.16781187093049688,0.031042916187140484,0.032581860365644894,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,42,42,0.009548611111111112,0.16820290809763236,0.16023800996293003,0.07638740501592309,0.027385686392095716,0.0846050256221859,0.009127959940179696,0.009099792510693544,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,42,43,0.03730620235996578,0.13897869364823967,0.1288690801741564,0.09721925447629062,0.0725747974129013,0.09752625606488302,0.031432988026348474,0.03202684203850315,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,43,42,0.018058778779391983,0.1494122778419934,0.14276550540303665,0.08641535418570365,0.02369112566873703,0.07839530530247628,0.0177860234018222,0.01693220555171866,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,43,43,0.01769414532351359,0.15707027616233424,0.14688667491562754,0.09721925447629062,0.04311447155301767,0.09068705148910725,0.017374321345318255,0.01571729930871135,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,44,42,0.0182900518943709,0.16707636376130192,0.16558717032583217,0.11727515281585174,0.05601331032922688,0.1069968671437424,0.016600477590115556,0.016295979782612786,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,44,43,0.024025543229172257,0.16098375455489167,0.1490298207740177,0.09721925447629062,0.0486279184776024,0.09397248949424218,0.02332856577414536,0.021747960591850007,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,45,42,0.01963743591189023,0.15696510200965508,0.15990797920096145,0.0920060883452081,0.051499987917395164,0.09828582118920343,0.019282590466914672,0.01782946498659293,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,45,43,0.016334270269689994,0.15830608500829443,0.14798966273398995,0.10220889783263903,0.07237469736211048,0.10529544849198093,0.015674676924039288,0.014329290480105474,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,46,42,0.016232320919820912,0.16680041592905726,0.1630930493226117,0.05555555555555555,0.028112539947558975,0.08218600073994116,0.01586297804499621,0.015027501412147946,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,8,46,43,0.014144414779351114,0.1555540367314399,0.14733683035380618,0.09875927420876114,0.04442468488644329,0.09172629947863303,0.0130394051249303,0.012828579047907091,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,42,42,0.009152845611178939,0.16537471379270707,0.15052396247606417,0.07638740501592309,0.028093008004293034,0.0813941545415971,0.009087187084650054,0.008943508810328711,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,42,43,0.009966186243067962,0.14601394164899834,0.13455709792258788,0.09721925447629062,0.01776731558967824,0.07468213441739308,0.009574203508424554,0.009214923587195445,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,43,42,0.015028777606460477,0.1471157165132432,0.1433161828896975,0.08641535418570365,0.015680382152825485,0.07495430460857497,0.014865222343139358,0.014138141829240542,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,43,43,0.01769414532351359,0.17913959088307363,0.16574952432076703,0.09721925447629062,0.02266983360053351,0.08825325220348336,0.017261915307194738,0.016137419942817012,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,44,42,0.017856024116593122,0.15403770298417688,0.15601888153750865,0.11727515281585174,0.07667326637712252,0.1129083785152137,0.016427436956992524,0.015519609669610433,18,44|42,gate5a_id_unsw,128,128
