protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
ood,tr993984ca__teb9107599,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0484375,0.0,0.0,0.0,0.0,0.02933611660624063,0.013334598457382104,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,svc_rbf,10,target_shift,label_flip_r_0.100,0.04790471201028766,0.0,0.0,0.0,0.8306353631849717,0.03676016181504509,0.1677337759495608,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,qsvc_zz_r1,8,target_shift,label_flip_r_0.100,0.047781803658282565,0.0,0.0,0.0,0.7708957440241865,0.017899290126518037,0.1482989035164512,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.04750148641619288,0.0,0.0,0.0,0.7708957440241865,0.018411695189873116,0.1485318149088853,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,idcc6a61e9,svc_rbf,12,target_shift,label_flip_r_0.100,0.04726208140450266,0.0,0.0,0.0,0.8306353631849717,0.02575765281382373,0.16273263549446018,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id6292a46b,qsvc_z_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.046875,0.0,0.0,0.0,0.0,0.03170256307512222,0.014410255943237374,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.046875,0.0,0.0,0.0,0.0,0.03114808331362275,0.014158219688010343,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.100,0.046875,0.0,0.0,0.0,0.0,0.03581613925275179,0.01628006329670536,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,svc_rbf,10,target_shift,label_flip_prior_preserving_r_0.100,0.046875,0.0,0.0,0.0,0.0,0.0219668304570561,0.0099849229350255,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.046875,0.0,0.0,0.0,0.0,0.0431236646176551,0.019601665735297775,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate6_ood_unsw,128,128
id,idcc6a61e9,qsvc_zz_r1,10,target_shift,label_flip_r_0.050,0.046354549527288916,0.0,0.0,0.0,0.5235872621545179,0.02655234301416292,0.10726693085271366,5,2,0.0,0.0,0.0,0.0,0.0390625,0.0007643013153583,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_z_r1,12,target_shift,label_flip_r_0.100,0.04606984445946994,0.0,0.0,0.0,0.8306353631849717,0.0246179397932264,0.1622145841214614,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.045852231466463465,0.0,0.0,0.0,0.8531189888323967,0.031148972237914553,0.16927116716857873,5,2,0.0,0.0,0.0,0.0,0.046875,0.0011014601470781,True,False,evaluation_or_label_path,gate6_ood_unsw,128,128
id,id6292a46b,qsvc_pauli_xyz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0453125,0.0,0.0,0.0,0.0,0.03341841816098303,0.015190190073174107,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.100,0.0453125,0.0,0.0,0.0,0.0,0.030357365603033048,0.013798802546833206,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5a_id_unsw,128,128
