protocol,dataset_tag,model,svd_dim,split_seed,impact_mean,stealth_full_sharednorm_mean,gate,max_train,max_test
ood,tr649b5ffb__tec82af0ba,svc_rbf,10,42,2.0890225863341666e-05,1.8888947799126742e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,10,43,4.459881392005e-05,3.851829191598576e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,10,44,0.00026041666666666666,0.00020941340599195184,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,10,45,6.889329805994444e-06,6.1007746305073445e-06,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,10,46,0.0036013658896217726,0.00286291445790708,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,12,42,1.4000896057347221e-05,1.2488751214550638e-05,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,12,43,0.00026161270280893886,0.00023576022040524484,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,12,44,0.00067997685185185,0.0006390358976809236,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,12,45,0.0002204585537918861,0.0001956658326948769,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,svc_rbf,12,46,0.002726497106537425,0.002112986710436619,gate3a_ood_tue_wed,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,42,0.042864048139338695,0.02721629874175511,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,43,0.05224119221089896,0.03393869654713316,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,44,0.030167377922505522,0.02081036355161505,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,45,0.042504135371870956,0.02833989055149566,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,8,46,0.0337505129401681,0.022962195996360756,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,42,0.054754042080348606,0.033632400180598154,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,43,0.06590506158861636,0.038676374935548444,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,44,0.03903651265807545,0.024097126379258788,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,45,0.06241068898429255,0.03732303322689308,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,10,46,0.0537146691232423,0.03359463132838955,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,12,42,0.06430275436343588,0.036821943763836996,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,12,43,0.07436973084174292,0.040058482099202736,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,qsvc_zz_r1,12,44,0.05728004092764539,0.03328209647829451,gate6_ood_unsw,128,128
