gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,impact_bal_acc,bal_acc,bal_acc_clean,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_priority_group,atk_strength_nominal,atk_strength_eff,atk_sham_type,atk_pool_half,atk_draw_index,atk_n_pool_half,atk_n_pool_total,atk_n_samples,atk_n_features,atk_pos_rate_draw,atk_pool_sampling,atk_sigma,atk_mean_abs_delta,atk_max_abs_delta,atk_alpha
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_17,null_control,null_evaluation,0.0,0.7963506326792591,0.75,0.026572573275028,0.0,0.0,0.0310861534437328,0.0390625,0.0008328164480711,0.01953125,0.0001908198068629,0.109375,0.0026944947795772,0.4375,0.109375,0.0026944947795772,0.48828125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,17.0,322.0,644.0,256.0,8.0,0.48046875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_18,null_control,null_evaluation,0.0,0.7723860098882989,0.75,0.0283934107763538,0.0,0.0,0.0285952437036153,0.02734375,0.0004111043140826,0.00390625,7.629530352796501e-06,0.0546875,0.0007516414721326,0.44140625,0.0546875,0.0007516414721326,0.44140625,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,18.0,322.0,644.0,256.0,8.0,0.49609375,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_19,null_control,null_evaluation,0.0,0.7714285714285715,0.75,0.0282621930723952,0.0,0.375,0.0366556135954556,0.03125,0.0005356078585013,0.0078125,3.051975144599192e-05,0.0625,0.0010268308126367,0.4609375,0.0625,0.0010268308126367,0.4609375,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,19.0,322.0,644.0,256.0,8.0,0.4921875,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,clean_resample_eval_20,null_control,null_evaluation,0.0,0.7900872856009278,0.75,0.0277517103950204,0.0,0.0,0.0385866254494887,0.03515625,0.0006762124583316,0.00390625,7.629530352796501e-06,0.078125,0.0014739242373459,0.46484375,0.078125,0.0014739242373459,0.48828125,null_control,null_evaluation,0.0,0.0,clean_resample,evaluation,20.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,sham_identity,sham,sham,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sham,sham,0.0,0.0,identity,,,,,256.0,8.0,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,sham_tiny_gaussian_sigma_0.001,sham,sham,0.0,0.75,0.75,0.0025731910052434,0.0,0.875,0.0043843915320828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sham,sham,0.001,0.0007884587059219,tiny_gaussian_noise,,,,,256.0,8.0,,,0.001,0.0007884587059219,0.0040357000446936,
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,sham_tiny_scaling_alpha_0.001,sham,sham,0.0,0.75,0.75,0.0040689018712095,0.0,0.75,0.0252127019468705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sham,sham,0.001,0.0019233719534042,tiny_scaling_drift,,,,,256.0,8.0,,,,0.0019233719534042,0.0064688378330988,0.001
gate2_id_256,id,id8c8771f4,8,42,42,svc_rbf,clean,clean,clean,0.0,0.76953125,0.76953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
gate2_id_256,id,id8c8771f4,8,42,42,svc_rbf,clean_resample_calib_01,null_control,null_calibration,0.0099023664011475,0.7596288835988525,0.76953125,0.0364176739498072,0.0,0.0,0.0299065054764355,0.0,0.0,0.00390625,7.629530352796501e-06,0.0234374999999939,0.0014088640190329,0.421875,0.0234374999999939,0.0014088640190329,0.49609375,null_control,null_calibration,0.0,0.0,clean_resample,calibration,1.0,322.0,644.0,256.0,8.0,0.50390625,simple_random_without_replacement,,,,
gate2_id_256,id,id8c8771f4,8,42,42,svc_rbf,clean_resample_calib_02,null_control,null_calibration,0.01953125,0.75,0.76953125,0.0359976439343209,0.0128654949918593,0.0,0.0336892680925811,0.01171875,8.842293527149816e-05,0.0,0.0,0.0390624999999939,0.001602351269852,0.42578125,0.0390624999999939,0.001602351269852,0.515625,null_control,null_calibration,0.0,0.0,clean_resample,calibration,2.0,322.0,644.0,256.0,8.0,0.5,simple_random_without_replacement,,,,
