gate,svd_dim,split_seed,model_seed,n_eval,near_duplicate_rows_1e-6,near_duplicate_row_fraction_1e-6,max_cluster_mass_width_0.01sd,mean_cluster_mass_width_0.01sd,max_cluster_mass_width_0.001sd,n_features_cluster_ge_0.20_width_0.01sd,n_features
gate3d_ood_wed_fri_morning,8,43,42,128,6,0.046875,0.8046875,0.705078125,0.640625,8,8
gate3d_ood_wed_fri_morning,8,43,43,128,2,0.015625,0.7421875,0.6572265625,0.640625,8,8
gate3d_ood_wed_fri_morning,8,44,42,128,2,0.015625,0.8046875,0.7119140625,0.7265625,8,8
gate3d_ood_wed_fri_morning,8,44,43,128,2,0.015625,0.7578125,0.6748046875,0.640625,8,8
gate3d_ood_wed_fri_morning,8,45,42,128,4,0.03125,0.765625,0.6767578125,0.6640625,8,8
gate3d_ood_wed_fri_morning,8,45,43,128,7,0.0546875,0.7578125,0.7080078125,0.65625,8,8
gate3d_ood_wed_fri_morning,8,46,42,128,0,0.0,0.75,0.701171875,0.671875,8,8
gate3d_ood_wed_fri_morning,8,46,43,128,2,0.015625,0.7578125,0.6650390625,0.640625,8,8
gate3d_ood_wed_fri_morning,10,42,42,128,6,0.046875,0.78125,0.66796875,0.6796875,10,10
gate3d_ood_wed_fri_morning,10,42,43,128,2,0.015625,0.765625,0.68671875,0.671875,10,10
gate3d_ood_wed_fri_morning,10,43,42,128,6,0.046875,0.8046875,0.66328125,0.640625,10,10
gate3d_ood_wed_fri_morning,10,43,43,128,2,0.015625,0.7421875,0.628125,0.640625,10,10
gate3d_ood_wed_fri_morning,10,44,42,128,2,0.015625,0.8046875,0.67734375,0.7265625,10,10
gate3d_ood_wed_fri_morning,10,44,43,128,2,0.015625,0.7578125,0.64609375,0.640625,10,10
gate3d_ood_wed_fri_morning,10,45,42,128,3,0.0234375,0.765625,0.66015625,0.6640625,10,10
gate3d_ood_wed_fri_morning,10,45,43,128,6,0.046875,0.7578125,0.67890625,0.65625,10,10
gate3d_ood_wed_fri_morning,10,46,42,128,0,0.0,0.75,0.6984375,0.671875,10,10
gate3d_ood_wed_fri_morning,10,46,43,128,2,0.015625,0.7578125,0.63046875,0.640625,10,10
gate3d_ood_wed_fri_morning,12,42,42,128,6,0.046875,0.78125,0.6569010416666666,0.6796875,12,12
gate3d_ood_wed_fri_morning,12,42,43,128,2,0.015625,0.765625,0.6673177083333334,0.671875,12,12
gate3d_ood_wed_fri_morning,12,43,42,128,6,0.046875,0.8046875,0.6764322916666666,0.640625,12,12
gate3d_ood_wed_fri_morning,12,43,43,128,2,0.015625,0.7421875,0.615234375,0.640625,12,12
gate3d_ood_wed_fri_morning,12,44,42,128,2,0.015625,0.8046875,0.6575520833333334,0.7265625,12,12
gate3d_ood_wed_fri_morning,12,44,43,128,2,0.015625,0.7578125,0.626953125,0.640625,12,12
gate3d_ood_wed_fri_morning,12,45,42,128,3,0.0234375,0.765625,0.6484375,0.6640625,12,12
gate3d_ood_wed_fri_morning,12,45,43,128,6,0.046875,0.7578125,0.6634114583333334,0.65625,12,12
gate3d_ood_wed_fri_morning,12,46,42,128,0,0.0,0.75,0.69921875,0.671875,12,12
