gate,svd_dim,model,target,target_kind,n,n_fire,false_alarm_rate,ci95_low,ci95_high
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,regime,200,46,0.23,0.17358086280159127,0.2946063945659808
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,regime,200,51,0.255,0.19614081520045826,0.3212753966387206
gate3a_ood_tue_wed,8,svc_rbf,integrity_jsd_vs_clean_eval,sensor,200,16,0.08,0.04641760839982258,0.1266648560220817
gate3a_ood_tue_wed,8,svc_rbf,integrity_mmd_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,8,svc_rbf,integrity_ks_reject05_vs_clean_eval,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,8,svc_rbf,integrity_score_jsd_vs_clean_eval,sensor,200,7,0.035,0.014185525898419248,0.07078099835097719
gate3a_ood_tue_wed,8,svc_rbf,integrity_pred_pos_rate_shift,sensor,200,8,0.04,0.017424808994480605,0.07729196822601608
gate3a_ood_tue_wed,8,svc_rbf,integrity_pred_jsd,sensor,200,10,0.05,0.024234165472108552,0.0900275377013513
gate3a_ood_tue_wed,8,svc_rbf,integrity_label_prior_shift,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,svc_rbf,integrity_label_jsd,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,svc_rbf,integrity_confusion_profile_l1,sensor,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,svc_rbf,integrity_confusion_profile_jsd,sensor,200,14,0.07,0.038795570429562824,0.1146597335371105
gate3a_ood_tue_wed,8,svc_rbf,I_X,regime,200,31,0.155,0.10780940010409655,0.21273764321570587
gate3a_ood_tue_wed,8,svc_rbf,I_XF,regime,200,48,0.24,0.1825719038924728,0.3053062856471396
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,regime,200,5,0.025,0.008166166190842514,0.057374351126845816
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,regime,200,56,0.28,0.21896115567003305,0.3476887372046082
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_jsd_vs_clean_eval,sensor,200,19,0.095,0.058169609725120246,0.14437663997685266
