all,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_pred_jsd,sensor,600,141,0.235,0.20161461323591573,0.2710178032809839
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_confusion_profile_l1,sensor,600,125,0.20833333333333334,0.1765065477955102,0.24306133046527426
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_confusion_profile_jsd,sensor,600,139,0.23166666666666666,0.19846543010181245,0.2675338378830562
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_X,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_XF,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_Ym,regime,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_XFY,regime,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_pred_disagreement,sensor_exact,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_confusion_profile_l1_delta,sensor_exact,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
all_environments,covariate_shift,mean_shift_pf_delta_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
all_environments,covariate_shift,mean_shift_pf_delta_0.100,label_flip_rate,sensor_exact,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_XF_item_aligned,regime_exact,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
all_environments,covariate_shift,mean_shift_pf_delta_0.100,I_XFY_item_aligned,regime_exact,600,371,0.6183333333333333,0.5781233693690266,0.6573723985641315
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_jsd_vs_clean_eval,sensor,600,432,0.72,0.6822161933938478,0.755602128767743
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_mmd_vs_clean_eval,sensor,600,152,0.25333333333333335,0.21898604992312692,0.29012903408779717
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_ks_reject05_vs_clean_eval,sensor,600,600,1.0,0.9938707286693308,1.0
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_score_jsd_vs_clean_eval,sensor,600,389,0.6483333333333333,0.6086362947503852,0.686561938686401
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_pred_pos_rate_shift,sensor,600,88,0.14666666666666667,0.11932229296719711,0.17754215431837025
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_pred_jsd,sensor,600,95,0.15833333333333333,0.13003085429515893,0.19004651562628377
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_label_prior_shift,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_label_jsd,sensor,600,0,0.0,0.0,0.006129271330669258
all_environments,covariate_shift,scaling_drift_alpha_0.020,integrity_confusion_profile_l1,sensor,600,80,0.13333333333333333,0.10715968679952213,0.1631767316788755
