gate,svd_dim,model,regime,n_resplits,resplit_rate_family_v12,resplit_rate_family,resplit_rate_family_max,conformal_level
gate5b_id_ton_iot,8,svc_rbf,I_X,30,0.049999999999999996,0.04233333333333333,0.095,0.04975124378109453
gate5b_id_ton_iot,8,svc_rbf,I_XF,30,0.06133333333333334,0.041499999999999995,0.09,0.04975124378109453
gate5b_id_ton_iot,8,svc_rbf,I_Ym,30,0.04033333333333333,0.04033333333333333,0.105,0.04975124378109453
gate5b_id_ton_iot,8,svc_rbf,I_XFY,30,0.064,0.036833333333333336,0.075,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_X,30,0.05883333333333333,0.04849999999999999,0.085,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_XF,30,0.05616666666666668,0.042166666666666665,0.08,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_Ym,30,0.036166666666666666,0.036166666666666666,0.105,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_XFY,30,0.0575,0.03783333333333334,0.095,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_z_r1,I_X,30,0.04866666666666667,0.042,0.08,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_z_r1,I_XF,30,0.05633333333333333,0.0445,0.1,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_z_r1,I_Ym,30,0.04033333333333333,0.04033333333333333,0.07,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_z_r1,I_XFY,30,0.06483333333333334,0.03416666666666667,0.11,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_zz_r1,I_X,30,0.0575,0.04700000000000001,0.12,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_zz_r1,I_XF,30,0.06133333333333333,0.04183333333333333,0.08,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_zz_r1,I_Ym,30,0.034833333333333334,0.034833333333333334,0.08,0.04975124378109453
gate5b_id_ton_iot,10,qsvc_zz_r1,I_XFY,30,0.0565,0.03433333333333334,0.075,0.04975124378109453
gate5b_id_ton_iot,10,svc_rbf,I_X,30,0.048,0.04233333333333333,0.075,0.04975124378109453
gate5b_id_ton_iot,10,svc_rbf,I_XF,30,0.04950000000000001,0.0405,0.085,0.04975124378109453
gate5b_id_ton_iot,10,svc_rbf,I_Ym,30,0.03416666666666667,0.03416666666666667,0.11,0.04975124378109453
gate5b_id_ton_iot,10,svc_rbf,I_XFY,30,0.05983333333333333,0.0345,0.105,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_pauli_xyz_r1,I_X,30,0.06016666666666666,0.047499999999999994,0.095,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_pauli_xyz_r1,I_XF,30,0.065,0.04283333333333334,0.125,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_pauli_xyz_r1,I_Ym,30,0.044333333333333336,0.044333333333333336,0.105,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_pauli_xyz_r1,I_XFY,30,0.05666666666666667,0.034,0.075,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_z_r1,I_X,30,0.05283333333333333,0.03783333333333334,0.085,0.04975124378109453
gate5b_id_ton_iot,12,qsvc_z_r1,I_XF,30,0.04966666666666666,0.034666666666666665,0.085,0.04975124378109453
