gate,split_seed,regime,rule,n,n_fire,false_alarm_rate
gate3d_ood_wed_fri_morning,42,I_XFY,union,240,75,0.3125
gate3d_ood_wed_fri_morning,42,I_XFY,family,240,20,0.08333333333333333
gate3d_ood_wed_fri_morning,43,I_X,union,240,19,0.07916666666666666
gate3d_ood_wed_fri_morning,43,I_X,family,240,6,0.025
gate3d_ood_wed_fri_morning,43,I_XF,union,240,33,0.1375
gate3d_ood_wed_fri_morning,43,I_XF,family,240,10,0.041666666666666664
gate3d_ood_wed_fri_morning,43,I_Ym,union,240,0,0.0
gate3d_ood_wed_fri_morning,43,I_Ym,family,240,0,0.0
gate3d_ood_wed_fri_morning,43,I_XFY,union,240,40,0.16666666666666666
gate3d_ood_wed_fri_morning,43,I_XFY,family,240,7,0.029166666666666667
gate3d_ood_wed_fri_morning,44,I_X,union,240,18,0.075
gate3d_ood_wed_fri_morning,44,I_X,family,240,12,0.05
gate3d_ood_wed_fri_morning,44,I_XF,union,240,40,0.16666666666666666
gate3d_ood_wed_fri_morning,44,I_XF,family,240,17,0.07083333333333333
gate3d_ood_wed_fri_morning,44,I_Ym,union,240,12,0.05
gate3d_ood_wed_fri_morning,44,I_Ym,family,240,12,0.05
gate3d_ood_wed_fri_morning,44,I_XFY,union,240,55,0.22916666666666666
gate3d_ood_wed_fri_morning,44,I_XFY,family,240,17,0.07083333333333333
gate3d_ood_wed_fri_morning,45,I_X,union,240,42,0.175
gate3d_ood_wed_fri_morning,45,I_X,family,240,12,0.05
gate3d_ood_wed_fri_morning,45,I_XF,union,240,65,0.2708333333333333
gate3d_ood_wed_fri_morning,45,I_XF,family,240,15,0.0625
gate3d_ood_wed_fri_morning,45,I_Ym,union,240,0,0.0
gate3d_ood_wed_fri_morning,45,I_Ym,family,240,0,0.0
gate3d_ood_wed_fri_morning,45,I_XFY,union,240,74,0.30833333333333335
gate3d_ood_wed_fri_morning,45,I_XFY,family,240,14,0.058333333333333334
gate3d_ood_wed_fri_morning,46,I_X,union,240,40,0.16666666666666666
gate3d_ood_wed_fri_morning,46,I_X,family,240,24,0.1
gate3d_ood_wed_fri_morning,46,I_XF,union,240,51,0.2125
gate3d_ood_wed_fri_morning,46,I_XF,family,240,11,0.04583333333333333
gate3d_ood_wed_fri_morning,46,I_Ym,union,240,12,0.05
gate3d_ood_wed_fri_morning,46,I_Ym,family,240,12,0.05
gate3d_ood_wed_fri_morning,46,I_XFY,union,240,65,0.2708333333333333
gate3d_ood_wed_fri_morning,46,I_XFY,family,240,15,0.0625
gate5a_id_unsw,42,I_X,union,480,32,0.06666666666666667
gate5a_id_unsw,42,I_X,family,480,3,0.00625
gate5a_id_unsw,42,I_XF,union,480,94,0.19583333333333333
gate5a_id_unsw,42,I_XF,family,480,37,0.07708333333333334
gate5a_id_unsw,42,I_Ym,union,480,24,0.05
gate5a_id_unsw,42,I_Ym,family,480,24,0.05
gate5a_id_unsw,42,I_XFY,union,480,123,0.25625
gate5a_id_unsw,42,I_XFY,family,480,31,0.06458333333333334
gate5a_id_unsw,43,I_X,union,480,25,0.052083333333333336
gate5a_id_unsw,43,I_X,family,480,5,0.010416666666666666
gate5a_id_unsw,43,I_XF,union,480,54,0.1125
gate5a_id_unsw,43,I_XF,family,480,13,0.027083333333333334
gate5a_id_unsw,43,I_Ym,union,480,24,0.05
gate5a_id_unsw,43,I_Ym,family,480,24,0.05
gate5a_id_unsw,43,I_XFY,union,480,78,0.1625
gate5a_id_unsw,43,I_XFY,family,480,8,0.016666666666666666
gate5a_id_unsw,44,I_X,union,480,83,0.17291666666666666
gate5a_id_unsw,44,I_X,family,480,41,0.08541666666666667
gate5a_id_unsw,44,I_XF,union,480,109,0.22708333333333333
gate5a_id_unsw,44,I_XF,family,480,44,0.09166666666666666
gate5a_id_unsw,44,I_Ym,union,480,24,0.05
gate5a_id_unsw,44,I_Ym,family,480,24,0.05
gate5a_id_unsw,44,I_XFY,union,480,130,0.2708333333333333
gate5a_id_unsw,44,I_XFY,family,480,38,0.07916666666666666
gate5a_id_unsw,45,I_X,union,480,0,0.0
gate5a_id_unsw,45,I_X,family,480,0,0.0
gate5a_id_unsw,45,I_XF,union,480,15,0.03125
gate5a_id_unsw,45,I_XF,family,480,5,0.010416666666666666
gate5a_id_unsw,45,I_Ym,union,480,24,0.05
gate5a_id_unsw,45,I_Ym,family,480,24,0.05
gate5a_id_unsw,45,I_XFY,union,480,42,0.0875
gate5a_id_unsw,45,I_XFY,family,480,5,0.010416666666666666
gate5a_id_unsw,46,I_X,union,480,12,0.025
gate5a_id_unsw,46,I_X,family,480,12,0.025
gate5a_id_unsw,46,I_XF,union,480,52,0.10833333333333334
gate5a_id_unsw,46,I_XF,family,480,23,0.04791666666666667
gate5a_id_unsw,46,I_Ym,union,480,72,0.15
gate5a_id_unsw,46,I_Ym,family,480,72,0.15
gate5a_id_unsw,46,I_XFY,union,480,130,0.2708333333333333
gate5a_id_unsw,46,I_XFY,family,480,47,0.09791666666666667
gate5b_id_ton_iot,42,I_X,union,480,48,0.1
gate5b_id_ton_iot,42,I_X,family,480,12,0.025
gate5b_id_ton_iot,42,I_XF,union,480,74,0.15416666666666667
gate5b_id_ton_iot,42,I_XF,family,480,17,0.035416666666666666
gate5b_id_ton_iot,42,I_Ym,union,480,24,0.05
gate5b_id_ton_iot,42,I_Ym,family,480,24,0.05
gate5b_id_ton_iot,42,I_XFY,union,480,109,0.22708333333333333
gate5b_id_ton_iot,42,I_XFY,family,480,28,0.058333333333333334
