signal_set,group,norm,norm_include_clean,combine,max_impact_err,max_stealth_err,dim8,dim10,dim12
label_pred_7,protocol_dataset,max,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_dataset,max,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_dataset,absmax,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_dataset,absmax,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,minmax,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,minmax,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,max,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,max,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,absmax,True,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_only,absmax,False,component_mean,0.0,0.4989078069769113,2.058257815408929,2.2925369654566867,2.165533404706462
label_pred_7,protocol_dataset_dim_family,minmax,True,component_mean,0.0,0.5117832672341527,2.0997991420728366,2.204682522642729,2.075679404798341
label_pred_7,protocol_dataset_dim_family,minmax,False,component_mean,0.0,0.5117832672341527,2.0997991420728366,2.204682522642729,2.075679404798341
label_pred_7,protocol_dataset_dim_family,max,True,component_mean,0.0,0.5343908705309992,2.122406745369683,2.2278225139667924,2.0892291925658806
label_pred_7,protocol_dataset_dim_family,max,False,component_mean,0.0,0.5343908705309992,2.122406745369683,2.2278225139667924,2.0892291925658806
label_pred_7,protocol_dataset_dim_family,absmax,True,component_mean,0.0,0.5343908705309992,2.122406745369683,2.2278225139667924,2.0892291925658806
label_pred_7,protocol_dataset_dim_family,absmax,False,component_mean,0.0,0.5343908705309992,2.122406745369683,2.2278225139667924,2.0892291925658806
simple_6,protocol_dataset_dim_family,max,True,component_mean,0.0,0.8895054893935106,2.0275264630319394,2.694985072037439,2.4058521716708707
simple_6,protocol_dataset_dim_family,max,False,component_mean,0.0,0.8895054893935106,2.0275264630319394,2.694985072037439,2.4058521716708707
simple_6,protocol_dataset_dim_family,absmax,True,component_mean,0.0,0.8895054893935106,2.0275264630319394,2.694985072037439,2.4058521716708707
simple_6,protocol_dataset_dim_family,absmax,False,component_mean,0.0,0.8895054893935106,2.0275264630319394,2.694985072037439,2.4058521716708707
